-0.0000	0.0000	0
-0.0010	0.0100	0
0.0051	0.0193	0
-0.0004	0.0300	0
0.0143	0.0374	0
0.0009	0.0500	0
0.0225	0.0556	0
0.0065	0.0697	0
0.0251	0.0760	0
0.0203	0.0877	0
0.0598	0.0801	0
0.0619	0.0909	0
0.0323	0.1156	0
0.0828	0.1002	0
0.1099	0.0868	0
0.0933	0.1174	0
0.0783	0.1395	0
0.1240	0.1163	0
0.0806	0.1609	0
0.1392	0.1293	0
0.1536	0.1281	0
0.1390	0.1574	0
0.1899	0.1111	0
0.1412	0.1816	0
0.1506	0.1868	0
0.1717	0.1817	0
0.2101	0.1532	0
0.2320	0.1381	0
0.2312	0.1579	0
0.2518	0.1439	0
0.2599	0.1498	0
0.3032	0.0647	0
0.2998	0.1120	0
0.2719	0.1870	0
0.3396	0.0154	0
0.3420	0.0746	0
0.3562	0.0525	0
0.3699	-0.0089	0
0.3787	0.0308	0
0.3893	-0.0230	0
0.3978	-0.0423	0
0.3978	-0.0993	0
0.4191	-0.0277	0
0.4268	-0.0527	0
0.4273	-0.1048	0
0.4373	-0.1060	0
0.4548	-0.0691	0
0.4336	-0.1814	0
0.4753	-0.0671	0
0.4361	-0.2233	0
0.2889	-0.4081	0
0.4697	-0.1988	0
0.3868	-0.3476	0
0.5008	-0.1735	0
0.4244	-0.3339	0
0.4240	-0.3503	0
0.2805	-0.4847	0
0.5306	-0.2082	0
0.4110	-0.4092	0
0.4621	-0.3668	0
0.3953	-0.4514	0
0.3676	-0.4868	0
0.4946	-0.3739	0
0.4356	-0.4551	0
0.3282	-0.5494	0
0.2780	-0.5875	0
0.3044	-0.5856	0
-0.0384	-0.6689	0
0.4327	-0.5246	0
0.3680	-0.5837	0
0.1625	-0.6809	0
-0.0702	-0.7065	0
0.1209	-0.7098	0
0.1812	-0.7072	0
0.0437	-0.7387	0
0.1035	-0.7428	0
-0.0064	-0.7600	0
-0.1704	-0.7509	0
0.1379	-0.7677	0
-0.0155	-0.7898	0
-0.0402	-0.7990	0
-0.2989	-0.7528	0
-0.1881	-0.7981	0
-0.0012	-0.8300	0
-0.2864	-0.7897	0
-0.1454	-0.8375	0
-0.3082	-0.8029	0
-0.1139	-0.8625	0
-0.1978	-0.8575	0
-0.7282	-0.5118	0
-0.5287	-0.7283	0
-0.1959	-0.8887	0
-0.6556	-0.6454	0
-0.4363	-0.8213	0
-0.3972	-0.8519	0
-0.7408	-0.5947	0
-0.7831	-0.5552	0
-0.6834	-0.6884	0
-0.6794	-0.7063	0
-0.5870	-0.7972	0
-0.0000	-0.0000	1
-0.0084	-0.0055	1
-0.0184	-0.0078	1
-0.0239	-0.0182	1
-0.0272	-0.0294	1
-0.0468	-0.0177	1
-0.0514	-0.0310	1
-0.0673	-0.0193	1
-0.0759	-0.0253	1
-0.0887	-0.0151	1
-0.0896	-0.0444	1
-0.1057	-0.0305	1
-0.1129	-0.0408	1
-0.1300	-0.0032	1
-0.1398	-0.0072	1
-0.1459	-0.0349	1
-0.1589	-0.0191	1
-0.1698	0.0085	1
-0.1799	0.0062	1
-0.1825	0.0527	1
-0.1968	0.0357	1
-0.1786	0.1104	1
-0.2143	0.0496	1
-0.2239	0.0524	1
-0.2399	0.0081	1
-0.2450	0.0497	1
-0.2334	0.1147	1
-0.2509	0.0998	1
